Locations,One Galle Face,Colombo City Center,Galle Face Green,Gangaramaya Temple,National Museum of Colombo,Independence Memorial Hall,Dutch Museum,National Art Gallery,Kelaniya Raja Maha Viharaya,Kailasanathar Swamy Kovil,Viharamahadevi Park,Port City,Lotus Tower,Jami Ul-Alfar Mosque,Pettah Market
,150,220,60,60,120,60,180,60,200,180,120,,60,30,120
,240,120,60,60,60,120,180,30,120,60,60,,45,10,120
,240,300,60,120,120,30,30,20,60,180,180,,60,10,120
,120,300,30,120,60,60,30,15,60,200,120,,10,15,60
,180,120,60,120,120,30,30,10,120,60,80,,10,5,120
,120,120,60,150,180,60,30,60,60,,120,,15,15,120
,240,240,120,120,120,180,30,50,60,,60,,12,5,120
,300,120,120,120,60,30,45,,60,,60,,,10,60
,,120,60,60,120,10,,,120,,120,,,3,120
,,200,60,30,180,15,,,180,,60,,,5,60
,,,60,30,120,15,,,15,,180,,,30,120
,,,60,120,120,20,,,45,,120,,,10,180
,,,120,60,180,20,,,60,,120,,,8,120
,,,120,80,120,30,,,180,,120,,,8,180
,,,60,60,120,30,,,60,,180,,,7,120
,,,60,120,75,10,,,60,,120,,,,180
,,,180,45,80,20,,,60,,180,,,,80
,,,120,100,120,20,,,180,,60,,,,60
,,,60,60,120,20,,,180,,180,,,,30
,,,120,120,120,15,,,120,,120,,,,10
,,,60,120,180,2,,,,,120,,,,10
,,,60,120,240,5,,,,,120,,,,240
,,,60,80,120,15,,,,,120,,,,180
,,,120,60,120,15,,,,,120,,,,120
,,,120,60,180,5,,,,,10,,,,120
,,,120,60,120,5,,,,,15,,,,
,,,120,80,60,15,,,,,75,,,,
,,,120,45,120,20,,,,,30,,,,
,,,180,60,60,15,,,,,180,,,,
,,,60,120,120,120,,,,,300,,,,
,,,60,60,120,30,,,,,180,,,,
,,,120,180,120,240,,,,,60,,,,
,,,180,60,60,30,,,,,180,,,,
,,,120,60,120,10,,,,,180,,,,
,,,60,60,120,180,,,,,60,,,,
,,,120,60,90,10,,,,,120,,,,
,,,120,60,80,25,,,,,180,,,,
,,,120,60,120,15,,,,,300,,,,
,,,120,60,120,45,,,,,120,,,,
,,,60,120,120,50,,,,,120,,,,
,,,60,120,360,12,,,,,60,,,,
,,,120,60,120,15,,,,,300,,,,
,,,60,60,180,17,,,,,300,,,,
,,,120,60,150,20,,,,,180,,,,
,,,120,30,270,,,,,,60,,,,
,,,60,120,50,,,,,,60,,,,
,,,120,80,120,,,,,,180,,,,
,,,120,120,180,,,,,,180,,,,
,,,120,80,120,,,,,,180,,,,
,,,120,60,120,,,,,,90,,,,
,,,20,120,120,,,,,,120,,,,
,,,20,120,120,,,,,,90,,,,
,,,15,80,60,,,,,,180,,,,
,,,20,30,120,,,,,,120,,,,
,,,3,120,60,,,,,,30,,,,
,,,5,180,60,,,,,,120,,,,
,,,15,180,120,,,,,,120,,,,
,,,120,120,120,,,,,,60,,,,
,,,180,120,120,,,,,,120,,,,
,,,180,120,140,,,,,,180,,,,
,,,120,60,180,,,,,,60,,,,
,,,180,60,90,,,,,,102,,,,
,,,7,120,60,,,,,,180,,,,
,,,10,120,180,,,,,,180,,,,
,,,5,80,120,,,,,,180,,,,
,,,90,180,60,,,,,,300,,,,
,,,120,180,60,,,,,,90,,,,
,,,80,60,180,,,,,,120,,,,
,,,90,120,60,,,,,,90,,,,
,,,60,120,60,,,,,,120,,,,
,,,90,180,360,,,,,,240,,,,
,,,90,120,120,,,,,,210,,,,
,,,120,120,240,,,,,,180,,,,
,,,120,50,120,,,,,,150,,,,
,,,,30,180,,,,,,75,,,,
,,,,60,60,,,,,,150,,,,
,,,,120,60,,,,,,180,,,,
,,,,60,240,,,,,,,,,,
,,,,90,60,,,,,,,,,,
,,,,60,120,,,,,,,,,,
,,,,180,120,,,,,,,,,,
,,,,60,60,,,,,,,,,,
,,,,120,300,,,,,,,,,,
,,,,60,240,,,,,,,,,,
,,,,120,60,,,,,,,,,,
