,locations,timeOfDay,stayTime
0,One Galle Face ,Morning,200
1,One Galle Face ,Evening,120
2,One Galle Face ,Night,200
3,Colombo City Center (CCC),Morning,120
4,Colombo City Center (CCC),Evening,120
5,Colombo City Center (CCC),Night,120
6,Galle Face Green,Morning,60
7,Galle Face Green,Evening,45
8,Galle Face Green,Night,120
9,Gangaramaya Temple,Morning,60
10,Gangaramaya Temple,Evening,45
11,Gangaramaya Temple,Night,60
12,National Museum of Colombo,Morning,200
13,National Museum of Colombo,Evening,200
14,National Museum of Colombo,Night,200
15,Independence Memorial Hall,Morning,60
16,Independence Memorial Hall,Evening,60
17,Independence Memorial Hall,Night,60
18,Dutch Museum,Morning,120
19,Dutch Museum,Evening,120
20,Dutch Museum,Night,120
21,National Art Gallery,Morning,200
22,National Art Gallery,Evening,200
23,National Art Gallery,Night,120
24,Kelaniya Raja Maha Viharaya,Morning,120
25,Kelaniya Raja Maha Viharaya,Evening,60
26,Kelaniya Raja Maha Viharaya,Night,60
27,Kailasanathar Swamy Kovil,Morning,120
28,Kailasanathar Swamy Kovil,Evening,120
29,Kailasanathar Swamy Kovil,Night,200
30,Viharamahadevi Park,Morning,60
31,Viharamahadevi Park,Evening,60
32,Viharamahadevi Park,Night,120
33,Port City,Morning,200
34,Port City,Evening,120
35,Port City,Night,200
36,Lotus Tower,Morning,120
37,Lotus Tower,Evening,120
38,Lotus Tower,Night,200
39,Pettah Market,Morning,60
40,Pettah Market,Evening,45
41,Pettah Market,Night,60
45,One Galle Face ,Morning,60
46,One Galle Face ,Evening,60
47,One Galle Face ,Night,60
48,Colombo City Center (CCC),Morning,60
49,Colombo City Center (CCC),Evening,60
50,Colombo City Center (CCC),Night,60
51,Galle Face Green,Morning,60
52,Galle Face Green,Evening,60
53,Galle Face Green,Night,60
54,Gangaramaya Temple,Morning,60
55,Gangaramaya Temple,Evening,60
56,Gangaramaya Temple,Night,60
57,National Museum of Colombo,Morning,45
58,National Museum of Colombo,Evening,60
59,National Museum of Colombo,Night,60
60,Independence Memorial Hall,Morning,60
61,Independence Memorial Hall,Evening,60
62,Independence Memorial Hall,Night,60
63,Dutch Museum,Morning,45
64,Dutch Museum,Evening,45
65,Dutch Museum,Night,45
66,National Art Gallery,Morning,45
67,National Art Gallery,Evening,45
68,National Art Gallery,Night,45
69,Kelaniya Raja Maha Viharaya,Morning,60
70,Kelaniya Raja Maha Viharaya,Evening,60
71,Kelaniya Raja Maha Viharaya,Night,60
72,Kailasanathar Swamy Kovil,Morning,60
73,Kailasanathar Swamy Kovil,Evening,60
74,Kailasanathar Swamy Kovil,Night,60
75,Viharamahadevi Park,Morning,120
76,Viharamahadevi Park,Evening,60
77,Viharamahadevi Park,Night,120
78,Port City,Morning,60
79,Port City,Evening,60
80,Port City,Night,120
81,Lotus Tower,Morning,60
82,Lotus Tower,Evening,45
83,Lotus Tower,Night,60
84,Pettah Market,Morning,60
85,Pettah Market,Evening,120
86,Pettah Market,Night,120
90,One Galle Face ,Morning,120
91,One Galle Face ,Evening,200
92,One Galle Face ,Night,200
