,locations,timeOfDay,stayTime,locationType,placeID,randomized_stay_time,,openHours,parking,diner
728,Colombo City Center (CCC),Morning,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,51.684025793355374,,,,
993,Colombo City Center (CCC),Morning,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,42.77225862725395,,,,
2469,Colombo City Center (CCC),Morning,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,103.82491442492834,,,,
2470,Colombo City Center (CCC),Evening,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,91.53717237,,,,
3012,Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,119.31772614517357,,,,
2075,Colombo City Center (CCC),Night,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,178.2154505170776,,,,
3280,Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,115.80548747263988,,,,
2066,Colombo City Center (CCC),Night,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,191.3821577013453,,,,
529,Colombo City Center (CCC),Morning,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,111.44853060867862,,,,
1334,Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,122.3687942675711,,,,
291,Colombo City Center (CCC),Morning,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,59.52884361508577,,,,
1335,Colombo City Center (CCC),Night,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,52.91304996734629,,,,
531,Colombo City Center (CCC),Night,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,122.01951013881315,,,,
2485,Colombo City Center (CCC),Evening,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,94.83252633234842,,,,
2999,Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,130.21095298449737,,,,
2063,Colombo City Center (CCC),Night,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,175.1944628566589,,,,
2998,Colombo City Center (CCC),Morning,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,115.10754324852219,,,,
975,Colombo City Center (CCC),Night,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,47.871415290471674,,,,
974,Colombo City Center (CCC),Evening,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,41.871426937119004,,,,
2504,Colombo City Center (CCC),Evening,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,89.78089578395516,,,,
2505,Colombo City Center (CCC),Night,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,97.16912789240835,,,,
530,Colombo City Center (CCC),Evening,200,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,209.3016671934386,,,,
292,Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,107.3310053693076,,,,
293,Colombo City Center (CCC),Night,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,45.626531032248316,,,,
2080,Colombo City Center (CCC),Evening,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,179.84648004218838,,,,
1010,Colombo City Center (CCC),Night,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,51.267413650019066,,,,
2133,Colombo City Center (CCC),Evening,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,179.26088378677574,,,,
1009,Colombo City Center (CCC),Evening,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,57.064503687863926,,,,
3255,Colombo City Center (CCC),Night,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,119.03928543667534,,,,
2129,Colombo City Center (CCC),Evening,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,168.46011918906817,,,,
2128,Colombo City Center (CCC),Night,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,183.23999386008185,,,,
2125,Colombo City Center (CCC),Evening,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,175.4466353087612,,,,
1008,Colombo City Center (CCC),Morning,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,37.37999256842841,,,,
2123,Colombo City Center (CCC),Night,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,191.35040160092694,,,,
2122,Colombo City Center (CCC),Evening,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,173.35166766986228,,,,
2119,Colombo City Center (CCC),Night,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,178.49945508238622,,,,
2116,Colombo City Center (CCC),Night,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,188.37690247118076,,,,
2442,Colombo City Center (CCC),Night,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,76.53439317163105,,,,
2110,Colombo City Center (CCC),Evening,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,166.21882512878165,,,,
3025,Colombo City Center (CCC),Morning,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,128.3917911,,,,
995,Colombo City Center (CCC),Night,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,43.51279150105841,,,,
2096,Colombo City Center (CCC),Night,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,171.0415824777784,,,,
1316,Colombo City Center (CCC),Morning,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,41.609590998868335,,,,
1317,Colombo City Center (CCC),Evening,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,61.52372902412631,,,,
994,Colombo City Center (CCC),Evening,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,50.899148889134494,,,,
2083,Colombo City Center (CCC),Evening,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,181.0901378345504,,,,
1350,Colombo City Center (CCC),Morning,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,55.07793229427648,,,,
3306,Colombo City Center (CCC),Morning,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,121.49047187580744,,,,
3307,Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,116.42929486155833,,,,
1351,Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,118.82312516131947,,,,
2009,Colombo City Center (CCC),Night,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,198.20078947966482,,,,
