Unnamed: 0,locations,stayTime,randomized_stay_time,timeOfDay_Evening,timeOfDay_Morning,timeOfDay_Night,locationType_Beaches and Parks,locationType_Miscellaneous,locationType_Museums and Galleries,locationType_Religious Site,locationType_Shopping Center,placeID_ChIJ29ux5BlZ4joRqIYssICvt2w,placeID_ChIJ2fnv9CxZ4joRsFXQ14mM27Q,placeID_ChIJ4zP25CFZ4joR5oPveZLBwLA,placeID_ChIJ9asnzG9Z4joRpzOYo3-ENCk,placeID_ChIJBfNyajlZ4joRbxOUv8Ykfl4,placeID_ChIJC46ViHtZ4joRCya8Jp8IxcE,placeID_ChIJQ9yCmWtZ4joRNu1evW41NTo,placeID_ChIJTXbn3s9b4joRxbASabb7l98,placeID_ChIJYZELmiFZ4joRKmKnrRRtj9g,placeID_ChIJZRPdHihY4joRRH3j8j-i36Y,placeID_ChIJiZ1zLxFZ4joRAdmjKdiEMjU,placeID_ChIJiey0cW5Z4joR3EK-cBauPac,placeID_ChIJr7L0oW9Z4joRjaT5aD0oCtk,placeID_ChIJseUqHGtZ4joRgteF9GKSLoc
728,Colombo City Center (CCC),45.0,51.684025793355374,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
993,Colombo City Center (CCC),45.0,42.77225862725395,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2469,Colombo City Center (CCC),90.0,103.82491442492834,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2470,Colombo City Center (CCC),90.0,91.5371723658089,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3012,Colombo City Center (CCC),120.0,119.31772614517357,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2075,Colombo City Center (CCC),180.0,178.2154505170776,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3280,Colombo City Center (CCC),120.0,115.80548747263988,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2066,Colombo City Center (CCC),180.0,191.3821577013453,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
529,Colombo City Center (CCC),120.0,111.44853060867862,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1334,Colombo City Center (CCC),120.0,122.3687942675711,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
291,Colombo City Center (CCC),60.0,59.52884361508577,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1335,Colombo City Center (CCC),60.0,52.91304996734629,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
531,Colombo City Center (CCC),120.0,122.01951013881316,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2485,Colombo City Center (CCC),90.0,94.83252633234842,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2999,Colombo City Center (CCC),120.0,130.21095298449737,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2063,Colombo City Center (CCC),180.0,175.1944628566589,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2998,Colombo City Center (CCC),120.0,115.1075432485222,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
975,Colombo City Center (CCC),45.0,47.87141529047168,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
974,Colombo City Center (CCC),45.0,41.87142693711901,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2504,Colombo City Center (CCC),90.0,89.78089578395516,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2505,Colombo City Center (CCC),90.0,97.16912789240835,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
530,Colombo City Center (CCC),200.0,209.3016671934386,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
292,Colombo City Center (CCC),120.0,107.3310053693076,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
293,Colombo City Center (CCC),45.0,45.62653103224832,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2080,Colombo City Center (CCC),180.0,179.84648004218838,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1010,Colombo City Center (CCC),45.0,51.267413650019066,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2133,Colombo City Center (CCC),180.0,179.26088378677574,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1009,Colombo City Center (CCC),45.0,57.064503687863926,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3255,Colombo City Center (CCC),120.0,119.03928543667534,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2129,Colombo City Center (CCC),180.0,168.46011918906817,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2128,Colombo City Center (CCC),180.0,183.23999386008185,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2125,Colombo City Center (CCC),180.0,175.4466353087612,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1008,Colombo City Center (CCC),45.0,37.37999256842841,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
