Unnamed: 0,locations,timeOfDay,stayTime,locationType,placeID,randomized_stay_time,new_place_types
728,Colombo City Center (CCC),Morning,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,51.68402579,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
993,Colombo City Center (CCC),Morning,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,42.77225863,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
2469,Colombo City Center (CCC),Morning,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,103.8249144,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
2470,Colombo City Center (CCC),Evening,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,91.53717237,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
3012,Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,119.3177261,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
2075,Colombo City Center (CCC),Night,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,178.2154505,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
3280,Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,115.8054875,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
2066,Colombo City Center (CCC),Night,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,191.3821577,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
529,Colombo City Center (CCC),Morning,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,111.4485306,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
1334,Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,122.3687943,"shopping_mall,lodging,shoe_store,store,point_of_interest,establishment"
291,Colombo City Center (CCC),Morning,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,59.52884362,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
1335,Colombo City Center (CCC),Night,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,52.91304997,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
531,Colombo City Center (CCC),Night,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,122.0195101,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
2485,Colombo City Center (CCC),Evening,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,94.83252633,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
2999,Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,130.210953,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
2063,Colombo City Center (CCC),Night,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,175.1944629,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
2998,Colombo City Center (CCC),Morning,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,115.1075432,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
975,Colombo City Center (CCC),Night,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,47.87141529,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
974,Colombo City Center (CCC),Evening,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,41.87142694,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
2504,Colombo City Center (CCC),Evening,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,89.78089578,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
2505,Colombo City Center (CCC),Night,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,97.16912789,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
530,Colombo City Center (CCC),Evening,200,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,209.3016672,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
292,Colombo City Center (CCC),Evening,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,107.3310054,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
293,Colombo City Center (CCC),Night,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,45.62653103,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
2080,Colombo City Center (CCC),Evening,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,179.84648,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
1010,Colombo City Center (CCC),Night,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,51.26741365,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
2133,Colombo City Center (CCC),Evening,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,179.2608838,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
1009,Colombo City Center (CCC),Evening,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,57.06450369,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
3255,Colombo City Center (CCC),Night,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,119.0392854,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
2129,Colombo City Center (CCC),Evening,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,168.4601192,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
2128,Colombo City Center (CCC),Night,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,183.2399939,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
2125,Colombo City Center (CCC),Evening,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,175.4466353,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
1008,Colombo City Center (CCC),Morning,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,37.37999257,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
2123,Colombo City Center (CCC),Night,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,191.3504016,"shopping_mall,shoe_store,store,lodging,point_of_interest,establishment"
2122,Colombo City Center (CCC),Evening,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,173.3516677,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
2119,Colombo City Center (CCC),Night,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,178.4994551,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
2116,Colombo City Center (CCC),Night,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,188.3769025,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
2442,Colombo City Center (CCC),Night,90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,76.53439317,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
2110,Colombo City Center (CCC),Evening,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,166.2188251,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
3025,Colombo City Center (CCC),Morning,120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,128.3917911,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
995,Colombo City Center (CCC),Night,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,43.5127915,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
2096,Colombo City Center (CCC),Night,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,171.0415825,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
1316,Colombo City Center (CCC),Morning,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,41.609591,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
1317,Colombo City Center (CCC),Evening,45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,61.52372902,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
994,Colombo City Center (CCC),Evening,60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,50.89914889,"shopping_mall,shoe_store,lodging,point_of_interest,store,establishment"
2083,Colombo City Center (CCC),Evening,180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,181.0901378,"shopping_mall,shoe_store,lodging,store,point_of_interest,establishment"
