Unnamed: 0,locations,stayTime,placeID,randomized_stay_time,Unnamed: 7,openHours,parking,diner,timeOfDay_Evening,timeOfDay_Morning,timeOfDay_Night,locationType_Beaches and Parks,locationType_Miscellaneous,locationType_Museums and Galleries,locationType_Religious Site,locationType_Shopping Center,"new_place_types_art_gallery,tourist_attraction,point_of_interest,establishment","new_place_types_grocery_or_supermarket,food,point_of_interest,store,establishment","new_place_types_grocery_or_supermarket,food,store,point_of_interest,establishment","new_place_types_grocery_or_supermarket,store,food,point_of_interest,establishment","new_place_types_grocery_or_supermarket,store,point_of_interest,food,establishment","new_place_types_hindu_temple,place_of_worship,point_of_interest,establishment","new_place_types_locality,political","new_place_types_park,point_of_interest,establishment","new_place_types_park,tourist_attraction,point_of_interest,establishment",new_place_types_premise,"new_place_types_shopping_mall,lodging,shoe_store,store,point_of_interest,establishment","new_place_types_shopping_mall,point_of_interest,establishment","new_place_types_shopping_mall,shoe_store,lodging,point_of_interest,store,establishment","new_place_types_shopping_mall,shoe_store,lodging,store,point_of_interest,establishment","new_place_types_shopping_mall,shoe_store,store,lodging,point_of_interest,establishment","new_place_types_tourist_attraction,museum,point_of_interest,establishment","new_place_types_tourist_attraction,place_of_worship,point_of_interest,establishment","new_place_types_tourist_attraction,point_of_interest,establishment"
728,Colombo City Center (CCC),45,ChIJseUqHGtZ4joRgteF9GKSLoc,51.684025793355374,,,,,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
993,Colombo City Center (CCC),45,ChIJseUqHGtZ4joRgteF9GKSLoc,42.77225862725395,,,,,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2469,Colombo City Center (CCC),90,ChIJseUqHGtZ4joRgteF9GKSLoc,103.82491442492834,,,,,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2470,Colombo City Center (CCC),90,ChIJseUqHGtZ4joRgteF9GKSLoc,91.53717237,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
3012,Colombo City Center (CCC),120,ChIJseUqHGtZ4joRgteF9GKSLoc,119.31772614517357,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2075,Colombo City Center (CCC),180,ChIJseUqHGtZ4joRgteF9GKSLoc,178.2154505170776,,,,,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
3280,Colombo City Center (CCC),120,ChIJseUqHGtZ4joRgteF9GKSLoc,115.80548747263988,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2066,Colombo City Center (CCC),180,ChIJseUqHGtZ4joRgteF9GKSLoc,191.3821577013453,,,,,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
529,Colombo City Center (CCC),120,ChIJseUqHGtZ4joRgteF9GKSLoc,111.44853060867862,,,,,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1334,Colombo City Center (CCC),120,ChIJseUqHGtZ4joRgteF9GKSLoc,122.3687942675711,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
291,Colombo City Center (CCC),60,ChIJseUqHGtZ4joRgteF9GKSLoc,59.52884361508577,,,,,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1335,Colombo City Center (CCC),60,ChIJseUqHGtZ4joRgteF9GKSLoc,52.91304996734629,,,,,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
531,Colombo City Center (CCC),120,ChIJseUqHGtZ4joRgteF9GKSLoc,122.01951013881316,,,,,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2485,Colombo City Center (CCC),90,ChIJseUqHGtZ4joRgteF9GKSLoc,94.83252633234842,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2999,Colombo City Center (CCC),120,ChIJseUqHGtZ4joRgteF9GKSLoc,130.21095298449737,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2063,Colombo City Center (CCC),180,ChIJseUqHGtZ4joRgteF9GKSLoc,175.1944628566589,,,,,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2998,Colombo City Center (CCC),120,ChIJseUqHGtZ4joRgteF9GKSLoc,115.1075432485222,,,,,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
