Unnamed: 0,locations,stayTime,locationType,placeID,randomized_stay_time,"new_place_types_art_gallery,tourist_attraction,point_of_interest,establishment","new_place_types_grocery_or_supermarket,food,point_of_interest,store,establishment","new_place_types_grocery_or_supermarket,food,store,point_of_interest,establishment","new_place_types_grocery_or_supermarket,store,food,point_of_interest,establishment","new_place_types_grocery_or_supermarket,store,point_of_interest,food,establishment","new_place_types_hindu_temple,place_of_worship,point_of_interest,establishment","new_place_types_locality,political","new_place_types_park,point_of_interest,establishment","new_place_types_park,tourist_attraction,point_of_interest,establishment",new_place_types_premise,"new_place_types_shopping_mall,lodging,shoe_store,store,point_of_interest,establishment","new_place_types_shopping_mall,point_of_interest,establishment","new_place_types_shopping_mall,shoe_store,lodging,point_of_interest,store,establishment","new_place_types_shopping_mall,shoe_store,lodging,store,point_of_interest,establishment","new_place_types_shopping_mall,shoe_store,store,lodging,point_of_interest,establishment","new_place_types_tourist_attraction,museum,point_of_interest,establishment","new_place_types_tourist_attraction,place_of_worship,point_of_interest,establishment","new_place_types_tourist_attraction,point_of_interest,establishment",timeOfDay_Evening,timeOfDay_Morning,timeOfDay_Night
728,Colombo City Center (CCC),45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,51.68402579,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
993,Colombo City Center (CCC),45,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,42.77225863,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2469,Colombo City Center (CCC),90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,103.8249144,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2470,Colombo City Center (CCC),90,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,91.53717237,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
3012,Colombo City Center (CCC),120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,119.3177261,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
2075,Colombo City Center (CCC),180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,178.2154505,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
3280,Colombo City Center (CCC),120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,115.8054875,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
2066,Colombo City Center (CCC),180,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,191.3821577,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
529,Colombo City Center (CCC),120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,111.4485306,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
1334,Colombo City Center (CCC),120,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,122.3687943,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
291,Colombo City Center (CCC),60,Shopping Center,ChIJseUqHGtZ4joRgteF9GKSLoc,59.52884362,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
